"id","title","date_or_version","source_type","authors_or_group","reading_scope","finding_and_limit","url"
"R12","AI-Augmented Instruction: Real-Time Misconception Detection","2026-02-19","SIGCSE TS 2026 poster","Georgia Tech","Abstract và thông tin track","LLM+encoder+KMeans+dashboard; pilot đang tiến hành theo abstract","https://sigcse2026.sigcse.org/details/sigcse-ts-2026-posters/160/AI-Augmented-Instruction-Real-Time-Misconception-Detection"
"R13","MENTOR: Fixing Introductory Programming Assignments With Formula-Based Fault Localization and LLM-Driven Program Repair","2026","Journal of Systems and Software","Orvalho; Janota; Manquinho","Author page abstract và mô tả repository; tìm được PDF tác giả","CEGIS+MaxSAT+LLM+GNN alignment đã có; repair rate không phải diagnosis accuracy","https://pmorvalho.github.io/publications/jss2026/"
"R14","From Correctness to Expert-Refined Misconception Signals with Human-in-the-Loop Validation in CS1 Programming Education","2026-09-02","UKICER 2026","Aruleba; Oyelere; Agbo; Jere","Publisher abstract và publication history; chưa đọc full text","Mới, liên quan trực tiếp; không dùng các tỷ lệ trong abstract như bằng chứng về stable belief","https://dl.acm.org/doi/10.1145/3830800.3830801"
"R15","Active Learning for Efficient Testing of Student Programs","2018","AIED 2018; extended manuscript","Rastogi; Kanade; Shevade","Abstract và introduction HTML","Active learning + symbolic test generation đã có","https://arxiv.org/html/1804.05655"
"R16","LEGenT: Localizing Errors and Generating Testcases for CS1","2022","Learning @ Scale 2022","Authors of LEGenT","Publisher author abstract, supplemental description; không dùng AI summary","Clustering + localization + personalized test đã có; coverage không toàn bộ dữ liệu","https://dl.acm.org/doi/10.1145/3491140.3528282"
"R17","Better Understanding, Better Fixes? A Study of Hallucination in LLM-based Automated Program Repair","2026-09-04","arXiv preprint","Cai; Liu; Yang; Ma; Jiang","Abstract và submission history","Hallucination trong intermediate artifacts/patch; preprint, không chuyển tỷ lệ Defects4J sang student C","https://arxiv.org/abs/2609.04909"
"R18","On the Lexical Superstition of Large Language Models for Code Comprehension: Re-evaluation on Code of Low Lexical Quality","2026-09-22","arXiv preprint","Authors on source","Abstract và các phần đầu trích xuất","Tên biến là yếu tố robustness; không chứng minh causal mental diagnosis","https://arxiv.org/abs/2609.26388"
"D01","C-Pack of IPAs: A C90 Program Benchmark of Introductory Programming Assignments","2024 paper; 2026 release","APR@ICSE 2024; official dataset","Orvalho; Janota; Manquinho","README, license, releases và Git trees đầy đủ của tag 2026","8607 C file trong all_submissions; 8343 blobs; 246 ID tokens; 25 bài; chưa replay","https://github.com/pmorvalho/C-Pack-IPAs/tree/C-Pack-IPAs-26"
"D02","C-Pack-IPAs-26 release","2026-05-31T23:30:07Z","Official release","pmorvalho","GitHub releases API và tag commit","Commit 76901e1223b250a093a02d5e29113ad735c3d2b9","https://github.com/pmorvalho/C-Pack-IPAs/releases/tag/C-Pack-IPAs-26"
"D03","ITSP: A Feasibility Study of Using Automated Program Repair for Introductory Programming Assignments","2017","ESEC/FSE artifact","Yi et al.; IIT Kanpur data","Official README qua tìm kiếm và dữ liệu/provenance trong AAI","Code/test/buggy-correct; adapter hiện không có student ID tin cậy","https://github.com/jyi/ITSP"
"D04","A Dataset for Modeling Iterative Problem-Solving (CodeInsight)","2026-09-01 v1","arXiv preprint","Stanford/NUS-associated authors; Vietnamese course data","Abstract, introduction, dataset access và related datasets trong HTML","Paper nêu >3M submissions/3286 người/394 bài; truy cập theo yêu cầu","https://arxiv.org/html/2609.00940v1"
"D05","CodeInsightTeam/code_insights_csv dataset card","live page accessed 2026-09-26","Gated Hugging Face dataset","CodeInsightTeam","Toàn bộ phần card công khai về access/schema/counts","Card nêu 781 người/396 câu; không đồng nhất với paper, cần làm rõ version","https://huggingface.co/datasets/CodeInsightTeam/code_insights_csv"
"B01","Programming Languages: Application and Interpretation","3.2.5; 2025-07-14","Open textbook","Shriram Krishnamurthi; Brown","PDF pages 17–21,48–54,135–137 và mục lục/lời tựa; không đọc toàn sách","Operational evaluation, binding/static scope, explicit memory; SMoL không thay semantics của C","https://www.plai.org/3/5/plai-v325.pdf"
"B02","The Programmer's Brain: chapter 7 Misconceptions: Bugs in thinking","Book 2021; online excerpt accessed 2026-09-26","Publisher excerpt","Felienne Hermans","Excerpt công khai của chương 7; không đọc toàn sách","Phân biệt sơ suất và cách hiểu sai; nền tảng thiết kế nhãn","https://livebook.manning.com/book/the-programmers-brain/chapter-7/"
"M01","Qwen3-Embedding-0.6B model card","available before cutoff; accessed 2026-09-26","Official model card","Qwen/Alibaba","Model overview, dimensions, instruction-aware support","Ứng viên baseline, không có chứng nhận SOTA cho task đề nghị","https://huggingface.co/Qwen/Qwen3-Embedding-0.6B"
"M02","Qwen3.5-4B model card","available before cutoff; accessed 2026-09-26","Official model card","Qwen/Alibaba","Model overview, format và checkpoint parameters","Ứng viên 4B text-only; chưa benchmark hardware trong lượt này","https://huggingface.co/Qwen/Qwen3.5-4B"
"A01","AAI project snapshot","2026-09-23 commit","User-provided repository","linhlinhlin/AAI","README, selected docs/source, six A/C reports, expert metrics, example raw code/logs","Commit 3c67734c25236b7fdcd9d84b8d4c2fa589add36e; read-only audit, no rerun of models","https://github.com/linhlinhlin/AAI/tree/3c67734c25236b7fdcd9d84b8d4c2fa589add36e"
